Name	Team	W	L	SV	G	GS	IP	K/9	BB/9	HR/9	BABIP	LOB%	GB%	HR/FB	vFA (pi)	ERA	xERA	FIP	xFIP	WAR	NameASCII	PlayerId	MLBAMID
Garrett Crochet	BOS	2	1	0	3	3	17.1	11.423077761068914	2.076923229285257	0.5192308073213142	0.29545454545454547	0.71428571	0.409090909	0.09090909	96.28366465111301	3.1153848439278855	3.6608345171273835	2.5422191270004335	2.610038228123627	0.4681858420372009	Garrett Crochet	27463	676979
Framber Valdez	DET	1	1	0	3	3	17	6.352941176470588	2.6470588235294117	0	0.3333333333333333	0.61538462	0.533333333	0		4.764705882352941	3.5854143781023606	2.7662010697757498	3.751665791693856	0.46309909224510193	Framber Valdez	17295	664285
Steven Matz	TBR	3	0	0	3	3	16	9.5625	2.8125	0.5625	0.23076923076923078	0.61643836	0.275	0.052631578		3.9375	3.3005254011964746	2.931642246246338	3.649455251917243	0.46286627650260925	Steven Matz	13361	571927
Joe Boyle	TBR	0	1	0	3	3	15.2	9.191489734710114	3.4468086505162927	0.5744681084193821	0.23255813953488372	0.38461538	0.409090909	0.052631578	97.74098011363637	5.170212975774439	4.273363567971673	3.0553124564219623	3.788398109	0.45344001054763794	Joe Boyle	29608	671212
Logan Webb	SFG	1	2	0	4	4	24	7.875	3.375	0.375	0.3150684931506849	0.58282209	0.561643835	0.058823529	92.58615112304688	5.25	4.147822642230963	3.160808912913005	3.531960530330738	0.4408037066459656	Logan Webb	17995	657277
Nolan McLean	NYM	1	1	0	3	3	16.2	10.80000041198732	3.240000123596196	0.540000021	0.19444444444444445	0.66176471	0.486486486	0.076923076	97.00888672	2.700000103	1.9094120148649347	2.7591422325134274	2.984316257459603	0.43428537249565125	Nolan McLean	33703	690997
Bryce Elder	ATL	1	1	0	3	3	17.2	8.150943689560213	2.5471699029875667	0.5094339805975133	0.2608695652173913	0.84337349	0.456521739	0.058823529	92.82498972039474	1.0188679611950267	2.3378018349216116	2.892727143758554	3.3969331327354104	0.41029149293899536	Bryce Elder	27779	693821
Michael McGreevy	STL	1	1	0	3	3	16.2	5.400000206	1.080000041198732	0.540000021	0.20408163265306123	0.77586207	0.42	0.045454545	91.26045735677083	2.160000082397464	5.618667620090251	3.0591422439575195	3.980205999081183	0.4032081663608551	Michael McGreevy	29869	700241
MacKenzie Gore	TEX	2	0	0	3	3	16.1	13.775511276518474	2.7551022553036946	1.1020409021214779	0.23333333333333334	0.81967213	0.4375	0.181818181	95.87710135323661	2.7551022553036946	2.6351340226918927	2.751795278872512	2.0278481408736866	0.40202656388282776	MacKenzie Gore	22201	669022
Michael Soroka	ARI	3	0	0	3	3	15.2	13.21276649364579	3.4468086505162927	0.5744681084193821	0.35294117647058826	0.82524272	0.4	0.076923076	94.1875	2.872340542096911	5.7385347229554755	2.736163507300083	2.975710342932482	0.3879130780696869	Michael Soroka	18383	647336
Kris Bubic	KCR	2	1	0	3	3	18	11.5	3.5	1	0.16666666666666666	0.81967213	0.421052631	0.105263157	91.91941704184322	2.5	2.7618444398988786	3.1746978018018934	3.090531584620476	0.3720499873161316	Kris Bubic	21455	663460
Lance McCullers Jr.	HOU	1	0	0	3	3	15.1	9.978261076435029	3.521739203447657	0.5869565339079429	0.35135135135135137	0.53763441	0.5	0.09090909	92.33724975585938	5.869565339079428	3.4261353881636816	2.9234900682770237	3.000155135077246	0.3667871356010437	Lance McCullers Jr.	14120	621121
Edward Cabrera	CHC	1	0	0	3	3	16.2	7.020000267791758	4.860000185394294	0	0.22727272727272727	0.84210526	0.441860465	0	95.92845892137096	1.620000061798098	2.3855403011544394	3.1791422485351566	4.338958465497636	0.3568568229675293	Edward Cabrera	21690	665795
Reid Detmers	LAA	0	1	0	3	3	15.2	9.765958437611037	3.4468088603333067	0.5744681433888844	0.3023255813953488	0.63106796	0.34090909	0.045454545	94.16845703	4.595745147111075	2.4992100318745436	3.310631627375966	4.290486748050578	0.35228031873703003	Reid Detmers	27468	672282
Andrew Abbott	CIN	0	1	0	3	3	17	5.823529411764706	3.176470588235294	0.5294117647058824	0.3148148148148148	0.79646018	0.574074074	0.066666666	92.71961963959853	3.176470588235294	4.065854958105274	3.6485540109522203	4.020922807735555	0.3417414128780365	Andrew Abbott	29911	671096
Jacob Misiorowski	MIL	1	1	0	3	3	16.1	15.42857262970069	4.959184059546651	1.1020409021214779	0.23076923076923078	0.80246914	0.535714285	0.2	98.89295789930556	3.306122706364434	3.062189521144818	3.302815729933251	2.499969526423418	0.33446985483169556	Jacob Misiorowski	31623	694819
Davis Martin	CHW	2	1	0	3	3	18	7.5	2	1	0.2916666666666667	0.87912088	0.285714285	0.095238095	93.97418118990385	2.5	5.022527055815962	3.7302533573574492	3.7892743219931924	0.3170294761657715	Davis Martin	21448	663436
Aaron Nola	PHI	1	1	0	3	3	17.1	9.865385339104972	2.076923229285257	1.5576924219639428	0.2727272727272727	0.81081081	0.425531914	0.166666666	91.99989576018258	3.6346156512491996	4.179047541485825	3.869142301266014	2.957391664440773	0.3098580241203308	Aaron Nola	16149	605400
Casey Mize	DET	1	1	0	3	3	16	10.125000603497064	3.375000201165688	1.1250000670552294	0.3333333333333333	0.79207921	0.340425531	0.095238095	93.84833508	3.937500234693303	5.616501608483991	3.6191422760486622	3.6855408652215376	0.30971309542655945	Casey Mize	20492	663554
Yoshinobu Yamamoto	LAD	2	1	0	3	3	18	7	1	1	0.25	0.84507042	0.387755102	0.083333333	95.76263870018116	2.5	3.6367167634579656	3.508031135135227	3.781832872496711	0.307917982	Yoshinobu Yamamoto	33825	808967
Sonny Gray	BOS	2	0	0	3	3	16.1	5.510204510607389	1.653061353182217	0.5510204510607389	0.23076923076923078	0.68493151	0.566037735	0.0625	92.15145399305555	2.7551022553036946	4.146621916509188	3.241591235370947	3.7080578542371176	0.2970621883869171	Sonny Gray	12768	543243
Eduardo Rodriguez	ARI	1	0	0	3	3	18	5.5	2.5	0.5	0.2222222222222222	0.96385542	0.509090909	0.058823529	91.74752018960675	0.5	3.3851205393634327	3.4524755795796715	3.9473444028033153	0.291878879	Eduardo Rodriguez	13164	593958
Rhett Lowder	CIN	1	1	0	3	3	16.1	6.061224961668128	3.306122706364434	0.5510204510607389	0.2549019607843137	0.69892473	0.365384615	0.041666666	93.07870802238806	3.306122706364434	4.209525277515885	3.670162697307077	4.767821840261311	0.27390971779823303	Rhett Lowder	33876	695076
Kyle Freeland	COL	1	1	0	3	3	15.2	7.468085409451968	2.2978724336775285	0.5744681084193821	0.26666666666666666	0.86734694	0.5	0.076923076	92.24109074519231	2.2978724336775285	3.8576534581767903	3.821269934314472	4.060816769946871	0.266255647	Kyle Freeland	16256	607536
Robbie Ray	SFG	2	1	0	3	3	17.1	9.346154531783656	3.1153848439278855	1.0384616146426284	0.20930232558139536	0.91549296	0.266666666	0.083333333	93.8665625	2.076923229285257	3.4371709993162667	3.5806807416430617	3.8650133359154255	0.2570062279701233	Robbie Ray	11486	592662
